name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
El Bierzo solar project II,--,,Spain,1.0,operating,2023.0,,,42.5737,-6.5398,exact,Castilla y León,L100001053786,G100001061580,GEM Global Solar Power Tracker Feb-2026
El Bonal solar farm,1,,Spain,80.0,operating,2020.0,Renovalia Energy Group,Cerebus Capital Management LP [100%],38.6418,-3.9575,exact,Castilla-La Mancha,L100000805936,G100000806832,GEM Global Solar Power Tracker Feb-2026
El Bonete solar farm,--,,Spain,38.5,construction,,,,41.2303,-0.4889,exact,Aragón,L100001064191,G100001073835,GEM Global Solar Power Tracker Feb-2026
El Bonillo solar farm,1,,Spain,20.0,operating,2008.0,Abaste Group,Deutsche Bank AG [100%],38.9167,-2.5505,exact,Castilla-La Mancha,L100000805692,G100000806547,GEM Global Solar Power Tracker Feb-2026
El Caballero solar farm,--,,Spain,51.7,pre-construction,,,Alejandría Power,41.8676,-4.7472,approximate,Castilla y León,L100001005624,G100001006744,GEM Global Solar Power Tracker Feb-2026
El Carpio 1 Thermosolar farm,--,Solacor 1,Spain,50.0,operating,2012.0,Abengoa,Abengoa SA [76%]; JGC Holdings Corp [24%],37.9557,-4.5029,exact,Andalucía,L100000824500,G100000827656,GEM Global Solar Power Tracker Feb-2026
El Carpio 2 Thermosolar farm,--,Solacor 2,Spain,50.0,operating,2012.0,Abengoa,Abengoa SA [76%]; JGC Holdings Corp [24%],37.961,-4.4754,exact,Andalucía,L100000824501,G100000827657,GEM Global Solar Power Tracker Feb-2026
El Casar solar farm,--,,Spain,322.0,pre-construction,,Fotovoltaica El Casar,Statkraft AS [100%],40.0331,-4.0948,exact,Castilla-La Mancha,L100000824502,G100000827658,GEM Global Solar Power Tracker Feb-2026
El Casarejo Hybrid solar farm,--,,Spain,52.7,pre-construction,,,,39.7338,-2.5071,approximate,Castilla-La Mancha,L100001063377,G100001072811,GEM Global Solar Power Tracker Feb-2026
El Castellar solar farm,--,,Spain,25.0,pre-construction,,,Energia inagotable de Antlia SL [100%],41.9346,1.126,approximate,Cataluña,L100001000937,G100001001303,GEM Global Solar Power Tracker Feb-2026
El Castillar solar farm,--,,Spain,85.0,pre-construction,,,,40.9636,-2.664,approximate,Castilla-La Mancha,L100001061830,G100001070898,GEM Global Solar Power Tracker Feb-2026
El Cenallo solar farm,--,,Spain,79.3,shelved - inferred 2 y,,Ardermer Itg,,41.3473,-0.7809,approximate,Aragón,L100000824503,G100000827659,GEM Global Solar Power Tracker Feb-2026
El Cerro solar farm,--,,Spain,40.0,pre-construction,,,,38.3527,-0.6311,exact,Extremadura,L100001063378,G100001072812,GEM Global Solar Power Tracker Feb-2026
El Chano solar farm,--,,Spain,36.3,pre-construction,,Lacovia Investments,Erbienergia Inversiones [100%],42.2591,-6.0448,approximate,Castilla y León,L100001004630,G100001005431,GEM Global Solar Power Tracker Feb-2026
El Condado solar project I,--,,Spain,3.2,operating,2017.0,,,37.4029,-6.5854,exact,Andalucía,L100001009477,G100001010847,GEM Global Solar Power Tracker Feb-2026
El Condado solar project II,--,,Spain,3.2,operating,2017.0,,,37.4217,-6.5595,exact,Andalucía,L100001009690,G100001011060,GEM Global Solar Power Tracker Feb-2026
